"ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real","outcome","duration","launchyr","launchmo","avgpledge","log_goal","cat_goal","cat_dur","cat_dur2","cat_goal2"
1001704257,"Croc2Pop - Where kids manage dad's digital addiction","Apps","Technology","USD","2014-08-20",1000,"2014-07-21",0,"failed",0,"US",0,0,1000,0,30,2014,7,0,6.90775527898214,"(6.9,7.9]","(29,30]","(29,30]",4
1002125164,"Cause Art Gallery","Other","Misc","USD","2014-07-16",4000,"2014-07-01",0,"failed",0,"US",0,0,4000,0,15,2014,7,0,8.29404964010203,"(7.9,8.9]","(10,20]","(10,20]",4
1002139381,"Tales from Sheepland: from the imagination of a child","Other","Misc","USD","2014-09-09",2000,"2014-07-31",2522,"successful",51,"US",2522,2522,2000,1,40,2014,7,49.4509803921569,7.60090245954208,"(6.9,7.9]","(30,40]","(30,40]",4
100227845,"Secret Behavior Magazine","Art Books","Misc","USD","2014-08-05",16000,"2014-07-14",17563,"successful",136,"US",17563,17563,16000,1,22,2014,7,129.139705882353,9.68034400122192,"(8.9,9.9]","(20,29]","(20,29]",4
1002312219,"Vagabond: The Search for My Homeless Father","Other","Film & Video","USD","2014-08-10",5000,"2014-07-11",131,"failed",6,"US",131,131,5000,0,30,2014,7,21.8333333333333,8.51719319141624,"(7.9,8.9]","(29,30]","(29,30]",4
1002720451,"Stage one & Stage two Music theatre","Other","Music","USD","2014-08-13",3e+05,"2014-07-14",0,"failed",0,"US",0,0,3e+05,0,30,2014,7,0,12.6115377536383,"(11.9,20]","(29,30]","(29,30]",7
1002724533,"This Mick's Life","Other","Misc","USD","2014-08-09",4399,"2014-07-10",5688,"successful",62,"US",5688,5688,4399,1,30,2014,7,91.741935483871,8.38913252134872,"(7.9,8.9]","(29,30]","(29,30]",4
1002728217,"Free soap from starting soap maker!","Other","Misc","USD","2014-08-19",10,"2014-07-20",36,"successful",16,"US",36,36,10,1,30,2014,7,2.25,2.30258509299405,"(1.9,2.9]","(29,30]","(29,30]",3
1003165056,"Mason-ry Silicone Koozie","Product Design","Misc","USD","2014-08-08",7500,"2014-07-09",15720,"successful",660,"US",15720,15720,7500,1,30,2014,7,23.8181818181818,8.9226582995244,"(8.9,9.9]","(29,30]","(29,30]",4
1003458038,"ONE WORLD - ONE YEAR","Other","Film & Video","USD","2014-08-14",68000,"2014-07-15",507,"failed",4,"US",507,507,68000,0,30,2014,7,126.75,11.1272629841582,"(10.9,11.9]","(29,30]","(29,30]",6
1003500859,"I Can't Believe It's Not Potato Salad ! (Canceled)","Other","Food","GBP","2014-08-10",10,"2014-07-11",12,"canceled",3,"GB",20.59,20.03,16.69,0,30,2014,7,4,2.81480973767374,"(1.9,2.9]","(29,30]","(29,30]",3
100359228,"Wireless Touchpad for Console Gaming Controllers (Canceled)","Other","Technology","USD","2014-08-14",1e+05,"2014-07-12",162,"canceled",3,"US",162,162,1e+05,0,33,2014,7,54,11.5129254649702,"(10.9,11.9]","(30,40]","(30,40]",6
1003727338,"An Above Average Grilled Cheese","Other","Food","USD","2014-08-09",20,"2014-07-10",0,"failed",0,"US",0,0,20,0,30,2014,7,0,2.99573227355399,"(2.9,3.9]","(29,30]","(29,30]",3
1004010327,"Kickstart My Art","Other","Misc","GBP","2014-08-30",100,"2014-07-31",3,"failed",3,"GB",5.08,4.89,162.96,0,30,2014,7,1,5.09350477191855,"(4.9,5.9]","(29,30]","(29,30]",4
1004080416,"(BT) Block Tower","Other","Misc","USD","2014-09-01",2000,"2014-07-03",0,"failed",0,"US",0,0,2000,0,60,2014,7,0,7.60090245954208,"(6.9,7.9]","(59,60]","(40,60]",4
1004220301,"Rabbitwild - A Shelter in the Wilderness","Anthologies","Misc","USD","2014-08-31",5000,"2014-07-24",1,"failed",1,"US",1,1,5000,0,38,2014,7,1,8.51719319141624,"(7.9,8.9]","(30,40]","(30,40]",4
1004226383,"Parthia Saffron - To your door one thread @ a time!","Other","Food","CAD","2014-08-07",4000,"2014-07-16",115,"failed",6,"CA",107.21,105.35,3664.35,0,22,2014,7,19.1666666666667,8.20640624524936,"(7.9,8.9]","(20,29]","(20,29]",4
1004275298,"Epic Backpacking Dynasty: The Global Millennial Revolution","Web","Journalism","USD","2014-08-17",110000,"2014-07-18",0,"failed",0,"US",0,0,110000,0,30,2014,7,0,11.6082356447746,"(10.9,11.9]","(29,30]","(29,30]",6
1004367374,"League of Legends Cosplay","DIY","Misc","USD","2014-08-25",500,"2014-07-09",0,"failed",0,"US",0,0,500,0,47,2014,7,0,6.21460809842219,"(5.9,6.9]","(40,59]","(40,60]",4
1004560254,"ExoSkeleton Assault Squad and Hura Technocracy - 15mm Sci-Fi","Tabletop Games","Misc","USD","2014-08-01",1750,"2014-07-02",4245,"successful",93,"US",4245,4245,1750,1,30,2014,7,45.6451612903226,7.46737106691756,"(6.9,7.9]","(29,30]","(29,30]",4
1004784584,"Hole in the Wall - Hector Records His Debut Studio Album!","Rock","Music","USD","2014-08-10",1000,"2014-07-11",1045,"successful",20,"US",1045,1045,1000,1,30,2014,7,52.25,6.90775527898214,"(6.9,7.9]","(29,30]","(29,30]",4
1004812579,"Newton's Wildlife Adventures","Other","Misc","GBP","2014-08-13",3000,"2014-07-14",13,"failed",4,"GB",22.26,21.7,5007.01,0,30,2014,7,3.25,8.51859420953186,"(7.9,8.9]","(29,30]","(29,30]",4
1005387641,"Letters from Basic Training","Anthologies","Misc","USD","2014-08-16",1000,"2014-07-17",50,"failed",1,"US",50,50,1000,0,30,2014,7,50,6.90775527898214,"(6.9,7.9]","(29,30]","(29,30]",4
1005636833,"The Nostalgic Restoration of Your Youth","Other","Misc","USD","2014-08-10",10000,"2014-07-11",0,"failed",0,"US",0,0,10000,0,30,2014,7,0,9.21034037197618,"(8.9,9.9]","(29,30]","(29,30]",4
1005701123,"A pot of coffee","Other","Food","USD","2014-08-09",10,"2014-07-10",11,"successful",2,"US",11,11,10,1,30,2014,7,5.5,2.30258509299405,"(1.9,2.9]","(29,30]","(29,30]",3
1005765270,"""""""""Star in a movie like 'Entourage'"""""""" The 420 Crew (Canceled)","Other","Film & Video","USD","2014-08-17",150000,"2014-07-18",5,"canceled",1,"US",5,5,150000,0,30,2014,7,5,11.9183905730784,"(11.9,20]","(29,30]","(29,30]",6
1005863674,"MY VERY FIRST KICKSTARTER","Other","Film & Video","USD","2014-08-12",6500,"2014-07-13",27,"failed",2,"US",27,27,6500,0,30,2014,7,13.5,8.77955745588373,"(7.9,8.9]","(29,30]","(29,30]",4
100608193,"Tactile Turn Mover & Shaker Pens - New Materials","Product Design","Misc","USD","2014-08-22",30000,"2014-07-22",81981,"successful",829,"US",81981,81981,30000,1,31,2014,7,98.891435464415,10.3089526606443,"(9.9,10.9]","(30,40]","(30,40]",5
100619872,"Picture Their Faces Photo Booth: Bringing smiles to all!","Other","Photography","USD","2014-08-08",1500,"2014-07-09",0,"failed",0,"US",0,0,1500,0,30,2014,7,0,7.3132203870903,"(6.9,7.9]","(29,30]","(29,30]",4
1006748617,"Jerry Springle","Other","Music","USD","2014-08-08",25000,"2014-07-09",181,"failed",8,"US",181,181,25000,0,30,2014,7,22.625,10.1266311038503,"(9.9,10.9]","(29,30]","(29,30]",5
1006946922,"World's Biggest Dick Drawing","Other","Misc","USD","2014-08-21",100,"2014-07-22",677,"successful",61,"US",677,677,100,1,30,2014,7,11.0983606557377,4.60517018598809,"(3.9,4.9]","(29,30]","(29,30]",4
1007013403,"WBOS presents Boogie Nights the Musical","Other","Theater","GBP","2014-08-16",5000,"2014-07-17",0,"failed",0,"GB",0,0,8288.71,0,30,2014,7,0,9.02264962685331,"(8.9,9.9]","(29,30]","(29,30]",4
100716183,"Famous Zombies!  The High Suspense & Strategy Game!","Tabletop Games","Misc","USD","2014-08-28",1750,"2014-07-29",1973,"successful",53,"US",1973,1973,1750,1,30,2014,7,37.2264150943396,7.46737106691756,"(6.9,7.9]","(29,30]","(29,30]",4
100772001,"A Children's Book about Eating Vegetables (Canceled)","Other","Misc","USD","2014-07-31",8000,"2014-07-01",3436,"canceled",40,"US",3436,3436,8000,0,30,2014,7,85.9,8.98719682066197,"(8.9,9.9]","(29,30]","(29,30]",4
1007964911,"STATEMENT: Handmade Leather Bags. Built To Last.","Accessories","Misc","USD","2014-08-18",15000,"2014-07-19",7646,"failed",53,"US",7646,7646,15000,0,30,2014,7,144.264150943396,9.61580548008435,"(8.9,9.9]","(29,30]","(29,30]",4
1007993089,"Remedy Resolutions","Apps","Technology","USD","2014-07-25",4500,"2014-07-18",4566,"successful",47,"US",4566,4566,4500,1,7,2014,7,97.1489361702128,8.41183267575841,"(7.9,8.9]","(0,10]","(0,10]",4
1008160023,"BendGame","Other","Misc","USD","2014-08-26",500,"2014-07-26",0,"failed",0,"US",0,0,500,0,31,2014,7,0,6.21460809842219,"(5.9,6.9]","(30,40]","(30,40]",4
1008469727,"Gone Tomorrow","Other","Film & Video","CAD","2014-09-13",30000,"2014-07-30",31850,"successful",71,"CA",29455.83,29012.57,27327.38,1,45,2014,7,448.591549295775,10.2156444089773,"(9.9,10.9]","(40,59]","(40,60]",5
1008472025,"Help Me Change My Life & Become a Professional Photographer!","Other","Photography","GBP","2014-08-16",30000,"2014-07-17",0,"failed",0,"GB",0,0,49732.27,0,30,2014,7,0,10.8144092971581,"(9.9,10.9]","(29,30]","(29,30]",5
100849105,"Kissmymuffin","Other","Misc","USD","2014-08-27",700,"2014-07-28",0,"failed",0,"US",0,0,700,0,30,2014,7,0,6.5510803350434,"(5.9,6.9]","(29,30]","(29,30]",4
100866883,"The ORPHAN GIRL","Other","Film & Video","USD","2014-08-23",38750,"2014-07-25",51318,"successful",263,"US",51318,51318,38750,1,29,2014,7,195.125475285171,10.5648860347815,"(9.9,10.9]","(20,29]","(20,29]",5
100868253,"Paracord Bracelets from The Cord Forge","Other","Misc","USD","2014-08-16",150,"2014-07-31",13,"failed",1,"US",13,13,150,0,16,2014,7,13,5.01063529409626,"(4.9,5.9]","(10,20]","(10,20]",4
100872615,"Land of a Thousand Bridges June Millington autobiography","Other","Misc","USD","2014-09-11",25000,"2014-07-13",30585.11,"successful",311,"US",30585.11,30585.11,25000,1,60,2014,7,98.3444051446945,10.1266311038503,"(9.9,10.9]","(59,60]","(40,60]",5
1008769520,"A Proper Welcome Home","Events","Food","USD","2014-08-01",200,"2014-07-17",0,"failed",0,"US",0,0,200,0,15,2014,7,0,5.29831736654804,"(4.9,5.9]","(10,20]","(10,20]",4
1008774793,"The Voices of La Union - A Farming Rust Foundation Project","Other","Journalism","USD","2014-08-14",10000,"2014-07-15",1586,"failed",24,"US",1586,1586,10000,0,30,2014,7,66.0833333333333,9.21034037197618,"(8.9,9.9]","(29,30]","(29,30]",4
1009148508,"FALLING TO PIECES : A Short Film Comedy about Grief","Shorts","Film & Video","USD","2014-08-09",25000,"2014-07-10",25769,"successful",231,"US",25769,25769,25000,1,30,2014,7,111.554112554113,10.1266311038503,"(9.9,10.9]","(29,30]","(29,30]",5
1009165923,"The Garage wall of fame (Canceled)","DIY","Misc","USD","2014-08-22",500,"2014-07-23",0,"canceled",0,"US",0,0,500,0,30,2014,7,0,6.21460809842219,"(5.9,6.9]","(29,30]","(29,30]",4
1009343442,"Apocalypse - Illustration project","Illustration","Misc","CAD","2014-08-13",800,"2014-07-09",0,"failed",0,"CA",0,0,733.94,0,35,2014,7,0,6.59842728140409,"(5.9,6.9]","(30,40]","(30,40]",4
100963764,"The Guardians of Xegarath publishing","Other","Misc","USD","2014-08-27",1800,"2014-07-28",41,"failed",4,"US",41,41,1800,0,30,2014,7,10.25,7.49554194388426,"(6.9,7.9]","(29,30]","(29,30]",4
1009805691,"Spread recovery awareness to schools nationally","Other","Misc","USD","2014-08-07",7500,"2014-07-08",0,"failed",0,"US",0,0,7500,0,30,2014,7,0,8.9226582995244,"(8.9,9.9]","(29,30]","(29,30]",4
1009968680,"Wreck - Space Wars","Tabletop Games","Misc","GBP","2014-08-14",5200,"2014-07-15",43,"failed",5,"GB",73.62,71.77,8678.82,0,30,2014,7,8.6,9.06864085371262,"(8.9,9.9]","(29,30]","(29,30]",4
1010178551,"Whole Women Win, Unleashing the Winner from Within","Other","Misc","USD","2014-08-22",6000,"2014-07-23",105,"failed",2,"US",105,105,6000,0,30,2014,7,52.5,8.69951474821019,"(7.9,8.9]","(29,30]","(29,30]",4
1010413306,"Custom Wood Bird Feeder Architecture Project","Other","Misc","USD","2014-08-13",100,"2014-07-14",5,"failed",1,"US",5,5,100,0,30,2014,7,5,4.60517018598809,"(3.9,4.9]","(29,30]","(29,30]",4
1010942317,"Hollywood Shakedown","Web","Journalism","USD","2014-08-20",3000,"2014-07-21",0,"failed",0,"US",0,0,3000,0,30,2014,7,0,8.00636756765025,"(7.9,8.9]","(29,30]","(29,30]",4
1011228093,"Boy King Islands' Super-Limited Edition New Album!","Indie Rock","Music","USD","2014-08-19",7200,"2014-07-15",9002,"successful",206,"US",9002,9002,7200,1,35,2014,7,43.6990291262136,8.88183630500415,"(7.9,8.9]","(30,40]","(30,40]",4
1011352051,"THC """"""""The High Concert""""""""","Hip-Hop","Music","USD","2014-08-20",1400,"2014-07-28",0,"failed",0,"US",0,0,1400,0,23,2014,7,0,7.24422751560335,"(6.9,7.9]","(20,29]","(20,29]",4
1011483416,"Bobby's Socks","Other","Film & Video","USD","2014-08-18",25000,"2014-07-19",235,"failed",5,"US",235,235,25000,0,30,2014,7,47,10.1266311038503,"(9.9,10.9]","(29,30]","(29,30]",5
1011547848,"Frederick Elton's Rock Album/Home Studio Start up","Rock","Music","GBP","2014-08-15",10000,"2014-07-16",0,"failed",0,"GB",0,0,16690.03,0,30,2014,7,0,9.72256681413779,"(8.9,9.9]","(29,30]","(29,30]",4
101173232,"The Lasagne Project Support","Other","Food","GBP","2014-08-29",30,"2014-07-30",1,"failed",1,"GB",1.7,1.66,49.75,0,30,2014,7,1,3.9070104636046,"(3.9,4.9]","(29,30]","(29,30]",4
1011852325,"I just want to make pizza","Other","Food","USD","2014-08-09",200,"2014-07-10",0,"failed",0,"US",0,0,200,0,30,2014,7,0,5.29831736654804,"(4.9,5.9]","(29,30]","(29,30]",4
1012361752,"Bar/Bat Mitzvah Training","Web","Technology","CAD","2014-09-12",25000,"2014-07-14",0,"failed",0,"CA",0,0,22606.02,0,60,2014,7,0,10.0259715214712,"(9.9,10.9]","(59,60]","(40,60]",5
1012665249,"Rediscovering Reading. . . (Canceled)","Other","Photography","GBP","2014-08-14",150,"2014-07-15",0,"canceled",0,"GB",0,0,250.35,0,30,2014,7,0,5.52285993877595,"(4.9,5.9]","(29,30]","(29,30]",4
1012677561,"Education in the South Pacific: American Samoa Documentary","Other","Film & Video","USD","2014-08-11",350,"2014-07-22",50,"failed",1,"US",50,50,350,0,20,2014,7,50,5.85793315448346,"(4.9,5.9]","(10,20]","(10,20]",4
1012677690,"Large 4 inch CPO CHIEF LDO CWO Mustang Challenge Coin","Product Design","Misc","USD","2014-07-22",2500,"2014-07-07",40,"failed",2,"US",40,40,2500,0,15,2014,7,20,7.82404601085629,"(6.9,7.9]","(10,20]","(10,20]",4
1012696379,"Gryphon Knight Epic - Medieval Shmup","Other","Misc","USD","2014-08-31",18000,"2014-07-28",19801.5,"successful",480,"US",19801.5,19801.5,18000,1,34,2014,7,41.253125,9.7981270368783,"(8.9,9.9]","(30,40]","(30,40]",4
1012826158,"Breath of the Titans","Other","Misc","USD","2014-08-15",10000,"2014-07-16",0,"failed",0,"US",0,0,10000,0,30,2014,7,0,9.21034037197618,"(8.9,9.9]","(29,30]","(29,30]",4
1012862183,"Revoltoso","Other","Film & Video","CAD","2014-09-14",44000,"2014-07-31",49458,"successful",221,"CA",45594.13,45051.92,40080.16,1,45,2014,7,223.79185520362,10.5986367277667,"(9.9,10.9]","(40,59]","(40,60]",5
1012948256,"Belle the christmas elf coloring book","Other","Misc","USD","2014-09-15",400,"2014-07-17",10,"failed",1,"US",10,10,400,0,60,2014,7,10,5.99146454710798,"(5.9,6.9]","(59,60]","(40,60]",4
101295302,"Paleo Research (Canceled)","Other","Food","USD","2014-07-16",200,"2014-07-09",0,"canceled",0,"US",0,0,200,0,7,2014,7,0,5.29831736654804,"(4.9,5.9]","(0,10]","(0,10]",4
1013042028,"Hard Ride Clothing (Canceled)","Other","Misc","USD","2014-08-20",15000,"2014-07-21",0,"canceled",0,"US",0,0,15000,0,30,2014,7,0,9.61580548008435,"(8.9,9.9]","(29,30]","(29,30]",4
1013109821,"I don't like names (Suspended)","Other","Misc","USD","2014-08-20",11,"2014-07-21",0,"suspended",0,"US",0,0,11,0,30,2014,7,0,2.39789527279837,"(1.9,2.9]","(29,30]","(29,30]",3
1013147824,"GORDON'S GRILL BBQ SAUCE","Other","Food","USD","2014-08-08",15000,"2014-07-09",10,"failed",1,"US",10,10,15000,0,30,2014,7,10,9.61580548008435,"(8.9,9.9]","(29,30]","(29,30]",4
1013157280,"MyTree Networking Site - Paint the Portrait of Your Life","Web","Technology","USD","2014-08-07",135000,"2014-07-08",52,"failed",6,"US",52,52,135000,0,30,2014,7,8.66666666666667,11.8130300574206,"(10.9,11.9]","(29,30]","(29,30]",6
1013401579,"Snarky Scouts (at Crafty Bastards craft fair)","Other","Misc","USD","2014-08-13",2900,"2014-07-30",2992,"successful",81,"US",2992,2992,2900,1,14,2014,7,36.9382716049383,7.97246601597457,"(7.9,8.9]","(10,20]","(10,20]",4
1013547328,"Signant Online","Other","Misc","USD","2014-08-14",6000,"2014-07-15",55,"failed",2,"US",55,55,6000,0,30,2014,7,27.5,8.69951474821019,"(7.9,8.9]","(29,30]","(29,30]",4
1013688970,"Strawberry Pie","Other","Food","USD","2014-08-27",100,"2014-07-28",0,"failed",0,"US",0,0,100,0,30,2014,7,0,4.60517018598809,"(3.9,4.9]","(29,30]","(29,30]",4
1013856925,"A paperback on the importance of family.","Other","Misc","USD","2014-08-24",7000,"2014-07-24",1,"failed",1,"US",1,1,7000,0,31,2014,7,1,8.85366542803745,"(7.9,8.9]","(30,40]","(30,40]",4
1014062456,"1/10 custom RC charity project","Other","Technology","USD","2014-08-03",300,"2014-07-14",162,"failed",5,"US",162,162,300,0,20,2014,7,32.4,5.7037824746562,"(4.9,5.9]","(10,20]","(10,20]",4
1014164299,"Architecture Lobby presents San Precario Exhibition","Other","Misc","USD","2014-08-12",1500,"2014-07-22",2058,"successful",46,"US",2058,2058,1500,1,21,2014,7,44.7391304347826,7.3132203870903,"(6.9,7.9]","(20,29]","(20,29]",4
1014234055,"Drawing pictures of cute animals doing awesome things.","Other","Misc","USD","2014-08-14",100,"2014-07-15",10,"failed",2,"US",10,10,100,0,30,2014,7,5,4.60517018598809,"(3.9,4.9]","(29,30]","(29,30]",4
1014247407,"Launch a local independent author's teen novel (Canceled)","Other","Misc","CAD","2014-08-09",5000,"2014-07-26",200,"canceled",1,"CA",186.26,183.49,4587.16,0,14,2014,7,200,8.4310163751748,"(7.9,8.9]","(10,20]","(10,20]",4
1014333611,"Take Me With You","Science Fiction","Film & Video","USD","2014-07-31",11000,"2014-07-01",13330,"successful",173,"US",13330,13330,11000,1,30,2014,7,77.0520231213873,9.30565055178051,"(8.9,9.9]","(29,30]","(29,30]",4
1014375612,"Zona's Icelandic Fiber Residency","Other","Misc","USD","2014-08-14",5000,"2014-07-15",330,"failed",7,"US",330,330,5000,0,30,2014,7,47.1428571428571,8.51719319141624,"(7.9,8.9]","(29,30]","(29,30]",4
1014375793,"The Rough & Tumble","Other","Comics","USD","2014-08-30",10000,"2014-07-31",11355.01,"successful",259,"US",11355.01,11355.01,10000,1,30,2014,7,43.8417374517375,9.21034037197618,"(8.9,9.9]","(29,30]","(29,30]",4
1014686065,"Publish Poor Millionaires by Nathan Roberts & Michael Kimpur","Other","Misc","USD","2014-08-09",5000,"2014-07-07",5294,"successful",75,"US",5294,5294,5000,1,33,2014,7,70.5866666666667,8.51719319141624,"(7.9,8.9]","(30,40]","(30,40]",4
1014879549,"Election Rally - it's your turn to say your word (Canceled)","Other","Misc","GBP","2014-08-28",2000,"2014-07-29",0,"canceled",0,"GB",0,0,3316.47,0,30,2014,7,0,8.10665624324401,"(7.9,8.9]","(29,30]","(29,30]",4
1015005872,"Little Free Libraries, Staunton VA","Other","Misc","USD","2014-08-27",260,"2014-07-28",375,"successful",36,"US",375,375,260,1,30,2014,7,10.4166666666667,5.56068163101553,"(4.9,5.9]","(29,30]","(29,30]",4
1015202552,"Kill The Artist Hype The Trash","Rock","Music","USD","2014-08-21",3500,"2014-07-22",4320,"successful",66,"US",4320,4320,3500,1,30,2014,7,65.4545454545455,8.1605182474775,"(7.9,8.9]","(29,30]","(29,30]",4
1015237778,"Potato Salad 2","Other","Food","USD","2014-08-16",9,"2014-07-17",0,"failed",0,"US",0,0,9,0,30,2014,7,0,2.19722457733622,"(1.9,2.9]","(29,30]","(29,30]",3
1015274683,"Kids Make Life Cool Clothes","Other","Misc","USD","2014-08-01",2000,"2014-07-22",5,"failed",1,"US",5,5,2000,0,10,2014,7,5,7.60090245954208,"(6.9,7.9]","(0,10]","(0,10]",4
1015945200,"Coding School","Other","Technology","USD","2014-08-15",13500,"2014-07-16",0,"failed",0,"US",0,0,13500,0,30,2014,7,0,9.51044496442652,"(8.9,9.9]","(29,30]","(29,30]",4
1015947929,"Create your own Customized Snap back baseball hats","Other","Misc","GBP","2014-08-11",15000,"2014-07-12",10,"failed",1,"GB",17.16,16.69,25035.05,0,30,2014,7,10,10.128032121966,"(9.9,10.9]","(29,30]","(29,30]",5
1016134549,"I want to create the best burger money can buy.","Other","Food","CAD","2014-08-08",1500,"2014-07-09",0,"failed",0,"CA",0,0,1374.13,0,30,2014,7,0,7.22557608257157,"(6.9,7.9]","(29,30]","(29,30]",4
1016182527,"Custom Candles (Canceled)","Other","Misc","USD","2014-08-06",1000,"2014-07-07",0,"canceled",0,"US",0,0,1000,0,30,2014,7,0,6.90775527898214,"(6.9,7.9]","(29,30]","(29,30]",4
1016554206,"Aggressive vocals + EDM = Adamo Fiscella's new project","Other","Music","USD","2014-08-23",3800,"2014-07-24",600,"failed",5,"US",600,600,3800,0,30,2014,7,120,8.24275634571448,"(7.9,8.9]","(29,30]","(29,30]",4
1016740457,"The Algernon Files 3.0","Tabletop Games","Misc","USD","2014-08-02",2500,"2014-07-04",2585,"successful",117,"US",2585,2585,2500,1,29,2014,7,22.0940170940171,7.82404601085629,"(6.9,7.9]","(20,29]","(20,29]",4
1016896948,"Follow the Westboro baptist  church in a rainbow bus","Other","Journalism","USD","2014-09-09",1000,"2014-07-11",21,"failed",3,"US",21,21,1000,0,60,2014,7,7,6.90775527898214,"(6.9,7.9]","(59,60]","(40,60]",4
1016942335,"Culinary Mushroom Project","Other","Food","USD","2014-08-09",500,"2014-07-10",500,"successful",11,"US",500,500,500,1,30,2014,7,45.4545454545455,6.21460809842219,"(5.9,6.9]","(29,30]","(29,30]",4
1017317496,"The vanishing springs of Florida","Other","Photography","USD","2014-08-17",300,"2014-07-18",0,"failed",0,"US",0,0,300,0,30,2014,7,0,5.7037824746562,"(4.9,5.9]","(29,30]","(29,30]",4
1017343780,"Tuna Knobs, Stick ‘em to your tablet and it’s a controller.","Product Design","Misc","EUR","2014-08-08",12500,"2014-07-09",30665,"successful",669,"NL",41720.12,41054.17,16734.95,1,30,2014,7,45.8370702541106,9.72525462589074,"(8.9,9.9]","(29,30]","(29,30]",4
1017489933,"Streamer Room (Canceled)","Other","Misc","USD","2014-08-09",1000,"2014-07-30",5,"canceled",1,"US",5,5,1000,0,10,2014,7,5,6.90775527898214,"(6.9,7.9]","(0,10]","(0,10]",4
1018022806,"Cup-O-Ghetti to Go!","Food Trucks","Food","USD","2014-08-21",10000,"2014-07-22",3,"failed",2,"US",3,3,10000,0,30,2014,7,1.5,9.21034037197618,"(8.9,9.9]","(29,30]","(29,30]",4
1018066528,"Corvallis Imagination Music and Art Festival 2014","Other","Music","USD","2014-08-14",2000,"2014-07-10",395,"failed",13,"US",395,395,2000,0,35,2014,7,30.3846153846154,7.60090245954208,"(6.9,7.9]","(30,40]","(30,40]",4
1018225437,"A Burger","Other","Food","USD","2014-08-08",20,"2014-07-09",0,"failed",0,"US",0,0,20,0,30,2014,7,0,2.99573227355399,"(2.9,3.9]","(29,30]","(29,30]",3
1018254980,"OIFIII vet seeks help to follow dream! (Canceled)","Other","Photography","USD","2014-08-22",700,"2014-07-23",5,"canceled",1,"US",5,5,700,0,30,2014,7,5,6.5510803350434,"(5.9,6.9]","(29,30]","(29,30]",4
1018774693,"Launching First White Merlot","Other","Food","EUR","2014-08-11",2500,"2014-07-24",11,"failed",2,"NL",14.81,14.73,3346.99,0,18,2014,7,5.5,8.11581671345664,"(7.9,8.9]","(10,20]","(10,20]",4
1018822517,"Massive LEGO Truman Sports Complex","Other","Misc","USD","2014-08-21",16137,"2014-07-19",1,"failed",1,"US",1,1,16137,0,33,2014,7,1,9.68887005094135,"(8.9,9.9]","(30,40]","(30,40]",4
