"","ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real","outcome","duration","launchyr","launchmo","avgpledge","category_combo","log_goal","norm_goal","duration2","duration3","predict","found","match"
"14",1012677561,"Education in the South Pacific: American Samoa Documentary","Documentary","Film & Video","USD","2014-08-11",350,"2014-07-22",50,"failed",1,"US",50,50,350,0,20,2014,7,50,"Film & Video:Documentary",5.85793315448346,-1.82850979822476,4,-12.6339470316038,1,0,0
"15",1012677690,"Large 4 inch CPO CHIEF LDO CWO Mustang Challenge Coin","Product Design","Design","USD","2014-07-22",2500,"2014-07-07",40,"failed",2,"US",40,40,2500,0,15,2014,7,20,"Design:Product Design",7.82404601085629,-0.920529145507195,3,-17.6339470316038,1,0,0
"16",101295302,"Paleo Research (Canceled)","Food","Food","USD","2014-07-16",200,"2014-07-09",0,"canceled",0,"US",0,0,200,0,7,2014,7,0,"Food:Food",5.29831736654804,-0.149389629564739,2,-25.6339470316038,1,0,0
"17",1013688970,"Strawberry Pie","Food","Food","USD","2014-08-27",100,"2014-07-28",0,"failed",0,"US",0,0,100,0,30,2014,7,0,"Food:Food",4.60517018598809,-0.37706877282399,6,-2.63394703160382,0,0,1
"18",1014234055,"Drawing pictures of cute animals doing awesome things.","Art","Art","USD","2014-08-14",100,"2014-07-15",10,"failed",2,"US",10,10,100,0,30,2014,7,5,"Art:Art",4.60517018598809,-1.06871123284207,6,-2.63394703160382,1,0,0
"19",1016134549,"I want to create the best burger money can buy.","Food","Food","CAD","2014-08-08",1500,"2014-07-09",0,"failed",0,"CA",0,0,1374.13,0,30,2014,7,0,"Food:Food",7.22557608257157,0.483660068406606,6,-2.63394703160382,0,0,1
"20",1017343780,"Tuna Knobs, Stick ‘em to your tablet and it’s a controller.","Product Design","Design","EUR","2014-08-08",12500,"2014-07-09",30665,"successful",669,"NL",41720.12,41054.17,16734.95,1,30,2014,7,45.8370702541106,"Design:Product Design",9.72525462589074,0.289063008231221,6,-2.63394703160382,1,1,1
"21",1018066528,"Corvallis Imagination Music and Art Festival 2014","Music","Music","USD","2014-08-14",2000,"2014-07-10",395,"failed",13,"US",395,395,2000,0,35,2014,7,30.3846153846154,"Music:Music",7.60090245954208,-0.417221028806564,7,2.36605296839618,0,0,1
"22",1018225437,"A Burger","Food","Food","USD","2014-08-08",20,"2014-07-09",0,"failed",0,"US",0,0,20,0,30,2014,7,0,"Food:Food",2.99573227355399,-0.905723372177531,6,-2.63394703160382,1,0,0
"23",1018823489,"Popeye's Chicken Recipe Challenge","Food","Food","USD","2014-08-15",500,"2014-07-16",0,"failed",0,"US",0,0,500,0,30,2014,7,0,"Food:Food",6.21460809842219,0.15158582652955,6,-2.63394703160382,0,0,1
"24",1019483724,"Healthy Treats","Food","Food","USD","2014-09-03",3000,"2014-07-25",2,"failed",2,"US",2,2,3000,0,40,2014,7,1,"Food:Food",8.00636756765025,0.740127874051035,8,7.36605296839618,0,0,1
"25",101957846,"IceLiners","Product Design","Design","USD","2014-09-09",30000,"2014-07-31",34617,"successful",448,"US",34617,34617,30000,1,40,2014,7,77.2700892857143,"Design:Product Design",10.3089526606443,0.660424971041199,8,7.36605296839618,0,0,0
"26",1019645625,"Record Label (Canceled)","Music","Music","USD","2014-08-22",1e+05,"2014-07-14",0,"canceled",0,"US",0,0,1e+05,0,39,2014,7,0,"Music:Music",11.5129254649702,1.73088781390185,8,6.36605296839618,0,0,1
"27",1020147040,"Mail Order Gourmet Chocolate Covered Popcorn","Food","Food","USD","2014-08-14",5000,"2014-07-15",0,"failed",0,"US",0,0,5000,0,30,2014,7,0,"Food:Food",8.51719319141624,0.907919569142343,6,-2.63394703160382,0,0,1
"28",1020472964,"Bringing my dream to life","Food","Food","CAD","2014-08-23",25000,"2014-07-09",0,"failed",0,"CA",0,0,23032.98,0,45,2014,7,0,"Food:Food",10.0446823808832,1.4096563427301,9,12.3660529683962,0,0,1
"29",1021734011,"Baked Beans (Canceled)","Food","Food","USD","2014-08-07",10,"2014-07-08",0,"canceled",0,"US",0,0,10,0,30,2014,7,0,"Food:Food",2.30258509299405,-1.13340251543678,6,-2.63394703160382,1,0,0
"30",1022016221,"Walking To My Friends","Documentary","Film & Video","USD","2014-09-01",10000,"2014-07-04",1795.11,"failed",37,"US",1795.11,1795.11,10000,0,59,2014,7,48.5164864864865,"Film & Video:Documentary",9.21034037197618,0.0612742086372982,12,26.3660529683962,0,0,1
"31",1022528509,"Tissue4boogers","Music","Music","USD","2014-09-22",6000,"2014-07-31",505,"failed",14,"US",505,505,6000,0,53,2014,7,36.0714285714286,"Music:Music",8.69951474821019,0.186031755934616,11,20.3660529683962,0,0,1
"32",1023422359,"Lets make some homemade cards!","Art","Art","USD","2014-08-13",500,"2014-07-14",0,"failed",0,"US",0,0,500,0,30,2014,7,0,"Art:Art",6.21460809842219,-0.393550972695129,6,-2.63394703160382,1,0,0
"33",1023613654,"PiCE+, a metal outdoor case for the Raspberry Pi B+ & Camera","Product Design","Design","GBP","2014-08-27",21300,"2014-07-28",4418,"failed",94,"GB",7499.96,7326.09,35320.45,0,30,2014,7,47,"Design:Product Design",10.4722173952936,0.76429770781101,6,-2.63394703160382,0,0,1
"34",1024372156,"Be a Hero! Help Super Giomar X Autism Art Projects","Art","Art","USD","2014-08-08",50,"2014-07-09",86,"successful",5,"US",86,86,50,1,30,2014,7,17.2,"Art:Art",3.91202300542815,-1.35948692983009,6,-2.63394703160382,1,1,1
"35",102543651,"Perro Gringo - Gringo Dog Hotdog & Sandwich Shop","Food","Food","USD","2014-08-27",25000,"2014-07-28",0,"failed",0,"US",0,0,25000,0,30,2014,7,0,"Food:Food",10.1266311038503,1.43657416849588,6,-2.63394703160382,0,0,1
"36",1026952639,"Art Therapy Pedalers","Art","Art","USD","2014-08-06",6000,"2014-07-07",6604,"successful",95,"US",6604,6604,6000,1,30,2014,7,69.5157894736842,"Art:Art",8.69951474821019,0.648868997127987,6,-2.63394703160382,0,0,0
"37",1027555266,"Hydro Puppy","Product Design","Design","USD","2014-08-27",3000,"2014-07-28",0,"failed",0,"US",0,0,3000,0,30,2014,7,0,"Design:Product Design",8.00636756765025,-0.804532025143135,6,-2.63394703160382,1,0,0
"38",102785661,"Kristal Label Barware","Product Design","Design","USD","2014-08-13",9500,"2014-07-14",5,"failed",1,"US",5,5,9500,0,30,2014,7,5,"Design:Product Design",9.15904707758863,-0.0711711093704844,6,-2.63394703160382,1,0,0
"39",1028897444,"Egg Salad","Food","Food","CAD","2014-08-06",25,"2014-07-07",0,"failed",0,"CA",0,0,22.9,0,30,2014,7,0,"Food:Food",3.13113691056019,-0.861246798353776,6,-2.63394703160382,0,0,1
"40",1029000350,"BRING HISTORY BACK (Canceled)","Art","Art","USD","2014-08-14",75000,"2014-07-15",1,"canceled",1,"US",1,1,75000,0,30,2014,7,1,"Art:Art",11.2252433925184,1.70841382043385,6,-2.63394703160382,0,0,1
"41",1030812989,"Fund a new Deadly awards!","Music","Music","AUD","2014-09-15",50000,"2014-07-23",6699,"failed",153,"AU",6266.71,6011.85,44871.22,0,54,2014,7,43.7843137254902,"Music:Music",10.7115518882594,1.29085009836265,11,21.3660529683962,0,0,1
"42",1032314962,"the leo (Canceled)","Food","Food","USD","2014-08-09",1500,"2014-07-10",0,"canceled",0,"US",0,0,1500,0,30,2014,7,0,"Food:Food",7.3132203870903,0.512448730791784,6,-2.63394703160382,0,0,1
"43",1033370834,"Blacklist Watches: Swiss Made, Limited Production (Canceled)","Product Design","Design","USD","2014-09-07",25000,"2014-07-30",18458,"canceled",48,"US",18458,18458,25000,0,39,2014,7,384.541666666667,"Design:Product Design",10.1266311038503,0.544427850677138,8,6.36605296839618,0,0,1
"44",1034915911,"Cerro Strata","Art","Art","USD","2014-08-18",1000,"2014-07-13",0,"failed",0,"US",0,0,1000,0,36,2014,7,0,"Art:Art",6.90775527898214,-0.102775275707107,8,3.36605296839618,0,0,1
"45",1039906842,"""""""""One Step Closer"""""""" Documentary (Canceled)","Documentary","Film & Video","USD","2014-09-16",1500000,"2014-07-18",126,"canceled",3,"US",126,126,1500000,0,60,2014,7,42,"Film & Video:Documentary",14.2209756660724,2.88581723956526,12,27.3660529683962,0,0,1
"46",1041295923,"Sweet Apple Pie Fries!","Food","Food","USD","2014-09-13",250000,"2014-07-30",4271,"failed",23,"US",4271,4271,250000,0,45,2014,7,185.695652173913,"Food:Food",12.4292161968444,2.19290791110868,9,12.3660529683962,0,0,1
"47",1041301460,"Maggie's Cookies","Food","Food","USD","2014-08-06",20,"2014-07-07",192,"successful",17,"US",192,192,20,1,30,2014,7,11.2941176470588,"Food:Food",2.99573227355399,-0.905723372177531,6,-2.63394703160382,1,1,1
"48",1042686750,"The Weezy","Product Design","Design","USD","2014-08-09",1000,"2014-07-10",25,"failed",1,"US",25,25,1000,0,30,2014,7,25,"Design:Product Design",6.90775527898214,-1.50349414527295,6,-2.63394703160382,1,0,0
"49",1042752871,"Get Bill Murray to the Potato Salad Party! the Documentary","Documentary","Film & Video","USD","2014-08-13",10,"2014-07-14",34,"successful",7,"US",34,34,10,1,30,2014,7,4.85714285714286,"Film & Video:Documentary",2.30258509299405,-3.83269349952814,6,-2.63394703160382,1,1,1
"50",1043567144,"Keaspeatzle","Food","Food","CAD","2014-08-08",50,"2014-07-09",0,"failed",0,"CA",0,0,45.8,0,30,2014,7,0,"Food:Food",3.82428409112014,-0.633567655094524,6,-2.63394703160382,0,0,1
"51",1046804067,"Feed Baby Tuck","Food","Food","USD","2014-08-26",750,"2014-07-27",0,"failed",0,"US",0,0,750,0,30,2014,7,0,"Food:Food",6.62007320653036,0.284769587532533,6,-2.63394703160382,0,0,1
"52",1048073331,"Inka Nuts","Food","Food","USD","2014-08-01",500,"2014-07-02",1568,"successful",58,"US",1568,1568,500,1,30,2014,7,27.0344827586207,"Food:Food",6.21460809842219,0.15158582652955,6,-2.63394703160382,0,0,0
"53",1048449485,"Meet Sam Henry. A Little Light to Find your Way.","Product Design","Design","USD","2014-08-18",23000,"2014-07-19",2944,"failed",30,"US",2944,2944,23000,0,30,2014,7,98.1333333333333,"Design:Product Design",10.0432494949113,0.491378574999974,6,-2.63394703160382,1,0,0
"54",104943137,"Maricón","Documentary","Film & Video","USD","2014-08-20",25000,"2014-07-21",905,"failed",10,"US",905,905,25000,0,30,2014,7,90.5,"Film & Video:Documentary",10.1266311038503,0.577796056489294,6,-2.63394703160382,0,0,1
"55",1049934201,"For the love of the breed - Car Decals","Art","Art","USD","2014-08-07",350,"2014-07-08",31,"failed",2,"US",31,31,350,0,30,2014,7,15.5,"Art:Art",5.85793315448346,-0.54317634567604,6,-2.63394703160382,1,0,0
"56",1050149309,"It is time for a SARCASM font (Canceled)","Art","Art","USD","2014-08-15",25,"2014-07-16",0,"canceled",0,"US",0,0,25,0,30,2014,7,0,"Art:Art",3.2188758248682,-1.65026262681812,6,-2.63394703160382,1,0,0
"57",1051455363,"XCase - The Best Ultra Minimalist Case for iPhone","Product Design","Design","USD","2014-09-04",13000,"2014-07-31",295,"failed",7,"US",295,295,13000,0,35,2014,7,42.1428571428571,"Design:Product Design",9.47270463644367,0.128384962041978,7,2.36605296839618,1,0,0
"58",1053119872,"Everyone is a Millionaire!","Documentary","Film & Video","USD","2014-09-20",25000,"2014-07-22",0,"failed",0,"US",0,0,25000,0,60,2014,7,0,"Film & Video:Documentary",10.1266311038503,0.577796056489294,12,27.3660529683962,0,0,1
"59",1054490382,"Care Cups - Caffeine with a Mission","Food","Food","USD","2014-07-26",8000,"2014-07-16",10400,"successful",153,"US",10400,10400,8000,1,10,2014,7,67.9738562091503,"Food:Food",8.98719682066197,1.06230239956656,2,-22.6339470316038,0,0,0
"60",1057657556,"Carrots on Fire!","Food","Food","USD","2014-08-20",20,"2014-07-21",225,"successful",9,"US",225,225,20,1,30,2014,7,25,"Food:Food",2.99573227355399,-0.905723372177531,6,-2.63394703160382,1,1,1
"61",1059235221,"The NEW Sock Slide - Save Time, Money and Aggrevation","Product Design","Design","USD","2014-08-15",7500,"2014-07-16",2234,"failed",70,"US",2234,2234,7500,0,30,2014,7,31.9142857142857,"Design:Product Design",8.9226582995244,-0.221567025377379,6,-2.63394703160382,1,0,0
"62",1059979719,"Chicken Sandwich - Make my dream come true!","Food","Food","AUD","2014-08-22",7,"2014-07-23",9,"successful",3,"AU",8.44,8.38,6.52,1,30,2014,7,3,"Food:Food",1.87487437593856,-1.27389332655618,6,-2.63394703160382,1,1,1
"63",1060095007,"""""""""Wake Up & Retire Early, A Generations Guide To Retirement""""""""","Documentary","Film & Video","USD","2014-08-09",11000,"2014-07-10",0,"canceled",0,"US",0,0,11000,0,30,2014,7,0,"Film & Video:Documentary",9.30565055178051,0.115001468424093,6,-2.63394703160382,0,0,1
"64",106225726,"5 step cream cheese pie","Food","Food","USD","2014-07-24",100,"2014-07-14",0,"failed",0,"US",0,0,100,0,10,2014,7,0,"Food:Food",4.60517018598809,-0.37706877282399,2,-22.6339470316038,1,0,0
"65",1062437169,"I Am Dracula","Documentary","Film & Video","GBP","2014-09-08",30000,"2014-07-28",1,"failed",1,"GB",1.7,1.62,48698.14,0,42,2014,7,1,"Film & Video:Documentary",10.7933961153228,0.953657869589165,9,9.36605296839618,0,0,1
"66",106293343,"M & K Designs","Art","Art","USD","2014-08-08",1500,"2014-07-09",0,"failed",0,"US",0,0,1500,0,30,2014,7,0,"Art:Art",7.3132203870903,0.0673176031519431,6,-2.63394703160382,0,0,1
"67",1064661756,"PickQuick","Music","Music","USD","2014-08-28",15000,"2014-07-29",0,"failed",0,"US",0,0,15000,0,30,2014,7,0,"Music:Music",9.61580548008435,0.689170981061749,6,-2.63394703160382,0,0,1
"68",1066137429,"Pizza Kickstarter (Canceled)","Food","Food","GBP","2014-08-07",10,"2014-07-08",0,"canceled",0,"GB",0,0,16.8,0,30,2014,7,0,"Food:Food",2.82137888640921,-0.962993503143661,6,-2.63394703160382,1,0,0
"69",1067432092,"Im Baking Cookies","Food","Food","CAD","2014-07-30",20,"2014-07-09",0,"failed",0,"CA",0,0,18.3,0,21,2014,7,0,"Food:Food",2.90690105984738,-0.934901900488161,5,-11.6339470316038,0,0,1
"70",1068091126,"Capital City Percussion Needs New Instruments","Music","Music","USD","2014-08-17",1000,"2014-07-18",1033,"successful",14,"US",1033,1033,1000,1,30,2014,7,73.7857142857143,"Music:Music",6.90775527898214,-0.797831159624612,6,-2.63394703160382,1,1,1
"71",106884002,"Luz en Latinoamérica: Documentary in Post-production","Documentary","Film & Video","USD","2014-09-02",6000,"2014-07-22",7554.33,"successful",111,"US",7554.33,7554.33,6000,1,42,2014,7,68.057027027027,"Film & Video:Documentary",8.69951474821019,-0.226683080397026,9,9.36605296839618,0,0,0
"72",1069062949,"The Sho | Traveling Creative Workshop","Art","Art","USD","2014-07-18",20000,"2014-07-12",10,"failed",2,"US",10,10,20000,0,6,2014,7,5,"Art:Art",9.90348755253613,1.15393637841588,2,-26.6339470316038,0,0,1
"73",1069307512,"Peanut Butter Cookies (Canceled)","Food","Food","CAD","2014-07-31",20,"2014-07-11",0,"canceled",0,"CA",0,0,18.3,0,20,2014,7,0,"Food:Food",2.90690105984738,-0.934901900488161,4,-12.6339470316038,0,0,1
"74",1069662107,"If being honest is wrong.... I don't want to be right!!","Food","Food","USD","2014-08-15",1500,"2014-07-15",0,"failed",0,"US",0,0,1500,0,31,2014,7,0,"Food:Food",7.3132203870903,0.512448730791784,7,-1.63394703160382,0,0,1
"75",1069700495,"Hype - the domestic water-turbine (Canceled)","Product Design","Design","GBP","2014-08-19",6800,"2014-07-15",3,"canceled",2,"GB",5.14,4.97,11272.65,0,35,2014,7,1.5,"Design:Product Design",9.3301347169266,0.0376787372525196,7,2.36605296839618,1,0,0
"76",1071013351,"Tomas Ferry Watch Co","Product Design","Design","USD","2014-08-22",14500,"2014-07-03",27844.5,"successful",352,"US",27844.5,27844.5,14500,1,50,2014,7,79.1036931818182,"Design:Product Design",9.58190392840867,0.197860034745798,10,17.3660529683962,0,0,0
"77",1071314955,"Melanin: The God Particle","Documentary","Film & Video","USD","2014-08-08",25000,"2014-07-09",1554,"failed",48,"US",1554,1554,25000,0,30,2014,7,32.375,"Film & Video:Documentary",10.1266311038503,0.577796056489294,6,-2.63394703160382,0,0,1
"78",1072008040,"Lucia di Lammermoor at Winslow Hall Opera by Donizetti","Music","Music","GBP","2014-08-14",2500,"2014-07-29",0,"failed",0,"GB",0,0,4172.51,0,16,2014,7,0,"Music:Music",8.33627305217782,-0.0134258388200312,4,-16.6339470316038,1,0,0
"79",1073460055,"Burgers and Hot Dogs","Food","Food","USD","2014-08-10",11,"2014-07-11",2,"failed",2,"US",2,2,11,0,30,2014,7,1,"Food:Food",2.39789527279837,-1.10209583095427,6,-2.63394703160382,1,0,0
"80",1074125725,"The Good Among Us","Documentary","Film & Video","USD","2014-08-13",15000,"2014-07-19",21,"failed",3,"US",21,21,15000,0,25,2014,7,7,"Film & Video:Documentary",9.61580548008435,0.28983876745497,5,-7.63394703160382,1,0,0
"81",1075544394,"Greatest burger in the world (Canceled)","Food","Food","AUD","2014-08-08",200,"2014-07-09",0,"canceled",0,"AU",0,0,185.7,0,30,2014,7,0,"Food:Food",5.22413246835866,-0.173757259609612,6,-2.63394703160382,0,0,1
"82",1077481383,"ATTENTION STEAK LOVERS!","Food","Food","CAD","2014-08-20",10000,"2014-07-21",445,"failed",5,"CA",412.4,406.13,9126.59,0,30,2014,7,89,"Food:Food",9.11894740984686,1.10557872256232,6,-2.63394703160382,0,0,1
"83",107792384,"The Whistle","Food","Food","USD","2014-08-06",20000,"2014-07-07",975,"failed",18,"US",975,975,20000,0,30,2014,7,54.1666666666667,"Food:Food",9.90348755253613,1.36327785566085,6,-2.63394703160382,0,0,1
"84",1077926953,"Stickman","Art","Art","USD","2014-08-14",5,"2014-07-15",2,"failed",2,"US",2,2,5,0,30,2014,7,1,"Art:Art",1.6094379124341,-2.32542288696506,6,-2.63394703160382,1,0,0
"85",1078008162,"Organic Comet Corn Popcorn Reaching for the Stars!","Food","Food","USD","2014-07-31",20000,"2014-07-01",20450.5,"successful",107,"US",20450.5,20450.5,20000,1,30,2014,7,191.126168224299,"Food:Food",9.90348755253613,1.36327785566085,6,-2.63394703160382,0,0,0
"86",1082056231,"The Slav","Product Design","Design","USD","2014-08-30",15000,"2014-07-31",0,"failed",0,"US",0,0,15000,0,30,2014,7,0,"Design:Product Design",9.61580548008435,0.21942897283191,6,-2.63394703160382,1,0,0
"87",1082676616,"The Perfect Chow Mein","Food","Food","GBP","2014-08-26",20,"2014-07-27",0,"failed",0,"GB",0,0,33.16,0,30,2014,7,0,"Food:Food",3.50134433026709,-0.739644185646047,6,-2.63394703160382,0,0,1
"88",1083592223,"Light the Wave: Burning Man 2014","Art","Art","USD","2014-08-06",1500,"2014-07-17",3082,"successful",49,"US",3082,3082,1500,1,20,2014,7,62.8979591836735,"Art:Art",7.3132203870903,0.0673176031519431,4,-12.6339470316038,0,0,0
"89",108569837,"The proposal (Canceled)","Documentary","Film & Video","USD","2014-08-17",8000,"2014-07-18",0,"canceled",0,"US",0,0,8000,0,30,2014,7,0,"Film & Video:Documentary",8.98719682066197,-0.0645139451131236,6,-2.63394703160382,1,0,0
"90",108651491,"Lu's Foods","Food","Food","USD","2014-08-17",3000,"2014-07-08",0,"failed",0,"US",0,0,3000,0,40,2014,7,0,"Food:Food",8.00636756765025,0.740127874051035,8,7.36605296839618,0,0,1
"91",1088273019,"I'm making guacamole","Food","Food","USD","2014-08-08",50,"2014-07-09",2,"failed",2,"US",2,2,50,0,30,2014,7,1,"Food:Food",3.91202300542815,-0.604747916083242,6,-2.63394703160382,0,0,1
"92",1088935484,"A Freezer Mission - For An Ice Venture!","Food","Food","GBP","2014-08-20",4600,"2014-07-21",0,"failed",0,"GB",0,0,7625.62,0,30,2014,7,0,"Food:Food",8.93926890964542,1.04655944334528,6,-2.63394703160382,0,0,1
"93",1089119508,"AC Shield: Protective Cover for Air Conditioner & Heat Pump.","Product Design","Design","USD","2014-09-17",30000,"2014-07-31",10420,"failed",66,"US",10420,10420,30000,0,48,2014,7,157.878787878788,"Design:Product Design",10.3089526606443,0.660424971041199,10,15.3660529683962,0,0,1
"94",1089348293,"Potato Sev mixture (Aloo Bhujia Chaat)","Food","Food","CAD","2014-08-10",10,"2014-07-11",0,"failed",0,"CA",0,0,9.17,0,30,2014,7,0,"Food:Food",2.21593728626837,-1.16186385662648,6,-2.63394703160382,0,0,1
"95",1089658404,"Ella's Dreams","Art","Art","USD","2014-09-09",20000,"2014-07-11",0,"failed",0,"US",0,0,20000,0,60,2014,7,0,"Art:Art",9.90348755253613,1.15393637841588,12,27.3660529683962,0,0,1
"96",1090057903,"Heirloom: the World's First Tomato for Cameras","Product Design","Design","USD","2014-09-04",43000,"2014-07-26",11924,"failed",115,"US",11924,11924,43000,0,40,2014,7,103.686956521739,"Design:Product Design",10.6689553946757,0.889466896774781,8,7.36605296839618,0,0,1
"97",1091093954,"Paralympic Sport Stars Documentary","Documentary","Film & Video","GBP","2014-07-31",10000,"2014-07-06",20,"failed",2,"GB",34.32,33.65,16825.67,0,25,2014,7,10,"Film & Video:Documentary",9.73066097541397,0.354583908511098,5,-7.63394703160382,0,0,1
"98",1091537390,"Art Therapy and Community Gallery Space","Art","Art","AUD","2014-08-21",6005,"2014-07-22",10,"failed",1,"AU",9.36,9.31,5591.77,0,30,2014,7,10,"Art:Art",8.6290511528818,0.619309472659685,6,-2.63394703160382,0,0,1
"99",1096166618,"My dream bakery","Food","Food","USD","2014-08-29",35000,"2014-07-30",132,"failed",4,"US",132,132,35000,0,30,2014,7,33,"Food:Food",10.4631033404715,1.54709573262106,6,-2.63394703160382,0,0,1
"100",1096542238,"Wyoming Wild","Art","Art","USD","2014-08-10",325,"2014-07-18",412,"successful",21,"US",412,412,325,1,23,2014,7,19.6190476190476,"Art:Art",5.78382518232974,-0.57426468861348,5,-9.63394703160382,1,1,1
"101",1097186249,"The Homemade Chicken Nugget (Canceled)","Food","Food","AUD","2014-08-20",10,"2014-07-21",0,"canceled",0,"AU",0,0,9.31,0,30,2014,7,0,"Food:Food",2.23108909128898,-1.15688691942948,6,-2.63394703160382,0,0,1
"102",109841051,"The Real World of Law School: A Journey Untold","Documentary","Film & Video","USD","2014-08-15",8000,"2014-07-16",5,"failed",1,"US",5,5,8000,0,30,2014,7,5,"Film & Video:Documentary",8.98719682066197,-0.0645139451131236,6,-2.63394703160382,1,0,0
"103",1098640920,"The Frontier","Documentary","Film & Video","GBP","2014-09-22",3500,"2014-07-24",80,"failed",4,"GB",136.56,130.47,5707.95,0,60,2014,7,20,"Film & Video:Documentary",8.64961521892276,-0.254811922234999,12,27.3660529683962,0,0,1
"104",1099130621,"Make My Dreamsongs Come True!","Music","Music","USD","2014-08-19",1000,"2014-07-29",1150,"successful",20,"US",1150,1150,1000,1,21,2014,7,57.5,"Music:Music",6.90775527898214,-0.797831159624612,5,-11.6339470316038,1,1,1
"105",1100614741,"Imagine Letters","Art","Art","CAD","2014-08-20",3000,"2014-07-21",100,"failed",2,"CA",92.67,91.27,2737.98,0,30,2014,7,50,"Art:Art",7.91497570121982,0.319754352214249,6,-2.63394703160382,0,0,1
"106",1101944442,"I want to try and make a pizza from scratch","Food","Food","GBP","2014-07-19",45,"2014-07-09",0,"failed",0,"GB",0,0,76.45,0,10,2014,7,0,"Food:Food",4.33663693237507,-0.465274312475528,2,-22.6339470316038,1,0,0
"107",1103278043,"Golf Tee Koozies","Product Design","Design","USD","2014-08-22",3000,"2014-07-13",134,"failed",8,"US",134,134,3000,0,40,2014,7,16.75,"Design:Product Design",8.00636756765025,-0.804532025143135,8,7.36605296839618,1,0,0
"108",1103610160,"Deep-Fried Mars Bars","Food","Food","GBP","2014-08-12",10,"2014-07-13",0,"failed",0,"GB",0,0,16.69,0,30,2014,7,0,"Food:Food",2.81480973767374,-0.965151281748237,6,-2.63394703160382,1,0,0
